학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,103,동서대학교,본교,부산,사립,기존,부산광역시 사상구 주례로 47 ,129.0070247,35.14613539
대학,104,동신대학교,본교,전남,사립,기존,전라남도 나주시 동신대길 67 ,126.7179972,35.04962777
대학,105,동아대학교,본교,부산,사립,기존,부산광역시 사하구 낙동대로550번길 37 ,128.9680759,35.1188108
대학,106,동양대학교,본교,경북,사립,기존,경상북도 영주시 풍기읍 동양대로 145 ,128.5299466,36.88583979
대학,107,동의대학교,본교,부산,사립,기존,부산광역시 부산진구 엄광로 176 ,129.0363174,35.14432175
대학,108,루터대학교,본교,경기,사립,기존,경기도 용인시 기흥구 금화로82번길 20 ,127.1133678,37.264498
대학,109,명지대학교,본교,경기,사립,기존,경기도 용인시 처인구 명지로 116 ,127.1901806,37.22180718
대학,111,명지대학교,제2캠퍼스,서울,사립,기존,서울특별시 서대문구 거북골로 34 ,126.9213523,37.58037793
대학,112,목원대학교,본교,대전,사립,기존,대전광역시 서구 도안북로 88 ,127.3374504,36.32886459
대학,113,배재대학교,본교,대전,사립,기존,대전광역시 서구 배재로 155-40 ,127.3660804,36.32323808
대학,114,부산가톨릭대학교,본교,부산,사립,기존,부산광역시 금정구 오륜대로 57 ,129.0970437,35.24469207
대학,115,부산외국어대학교,본교,부산,사립,기존,부산광역시 금정구 금샘로485번길 65 ,129.0805559,35.26618972
대학,116,삼육대학교,본교,서울,사립,기존,서울특별시 노원구 화랑로 815 ,127.1088536,37.64336007
대학,117,상명대학교,본교,서울,사립,기존,서울특별시 종로구 홍지문2길 20 ,126.9551655,37.60410071
대학,119,상지대학교,본교,강원,사립,기존,강원도 원주시 상지대길 83 ,127.9299103,37.36911968
대학,120,서강대학교,본교,서울,사립,기존,서울특별시 마포구 백범로 35 ,126.9430655,37.55150447
대학,121,서경대학교,본교,서울,사립,기존,서울특별시 성북구 서경로 124 ,127.013569,37.61540685
대학,125,서울신학대학교,본교,경기,사립,기존,경기도 부천시 소사구 호현로489번길 52 ,126.7899968,37.47832323
대학,126,서울여자대학교,본교,서울,사립,기존,서울특별시 노원구 화랑로 621 ,127.0916227,37.62738222
대학,127,서울장신대학교,본교,경기,사립,기존,경기도 광주시 경안로 145 ,127.2454131,37.40930951
대학,128,서원대학교,본교,충북,사립,기존,충청북도 청주시 서원구 무심서로 377-3 ,127.4821229,36.62597413
대학,129,선문대학교,본교,충남,사립,기존,충청남도 아산시 탕정면 선문로221번길 70 ,127.075737,36.80104098
대학,131,성결대학교,본교,경기,사립,기존,경기도 안양시 만안구 성결대학로 53 ,126.9288109,37.37987212
