학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
전문대학,548,강원관광대학교,본교,강원,사립,기존,강원도 태백시 대학길 97 
전문대학,549,국제대학교,본교,경기,사립,기존,경기도 평택시 장안웃길 56 
전문대학,550,선린대학교,본교,경북,사립,기존,경상북도 포항시 북구 흥해읍 초곡길36번길 30 
전문대학,553,한림성심대학교,본교,강원,사립,기존,강원도 춘천시 동면 장학길 48 
전문대학,554,한양여자대학교,본교,서울,사립,기존,서울특별시 성동구 살곶이길 200 
전문대학,555,한영대학교,본교,전남,사립,기존,전라남도 여수시 장군산길 18-43 
전문대학,556,혜전대학교,본교,충남,사립,기존,충청남도 홍성군 홍성읍 대학1길 19 
전문대학,560,경기과학기술대학교,본교,경기,사립,기존,경기도 시흥시 경기과기대로 269 
전문대학,561,부산예술대학교,본교,부산,사립,기존,부산광역시 남구 못골번영로71번길 74 
전문대학,562,전남도립대학교,본교,전남,공립,기존,전라남도 담양군 담양읍 죽녹원로 152 
전문대학,564,송호대학교,본교,강원,사립,기존,강원도 횡성군 횡성읍 남산로 210 
전문대학,565,한국관광대학교,본교,경기,사립,기존,경기도 이천시 신둔면 이장로311번길 197-73 
전문대학,566,서정대학교,본교,경기,사립,기존,경기도 양주시 은현면 서정로 27 
전문대학,567,송곡대학교,본교,강원,사립,기존,강원도 춘천시 남산면 송곡대학길 34 
전문대학,568,웅지세무대학교,본교,경기,사립,기존,경기도 파주시 탄현면 웅지로144번길 73 
전문대학,569,김해대학교,본교,경남,사립,기존,경상남도 김해시 삼안로112번길 198 
전문대학,570,한국승강기대학교,본교,경남,사립,기존,경상남도 거창군 거창읍 운정1길 120 
전문대학,575,영진사이버대학교,본교,대구,사립,기존,대구광역시 북구 복현로 35 
전문대학,576,한국복지사이버대학,본교,경북,사립,기존,경상북도 경산시 남천면 남천로 746-10 
전문대학,578,한국골프대학교,본교,강원,사립,기존,강원도 횡성군 우천면 하대5길 109 한국골프대학교
전문대학,579,ICT폴리텍대학,본교,경기,사립,기존,경기도 광주시 순암로 16-26 
전문대학,584,한국폴리텍 I 대학 서울정수캠퍼스,본교,서울,사립,기존,서울특별시 용산구 보광로 73 
전문대학,585,한국폴리텍 I 대학 서울강서캠퍼스,본교,서울,사립,기존,서울특별시 강서구 우장산로10길 112 
전문대학,586,한국폴리텍 I 대학 성남캠퍼스,본교,경기,사립,기존,경기도 성남시 수정구 수정로 398 
전문대학,589,한국폴리텍 II 대학 인천캠퍼스,본교,인천,사립,기존,인천광역시 부평구 무네미로448번길 56 
전문대학,590,한국폴리텍 II 대학 남인천캠퍼스,본교,인천,사립,기존,인천광역시 남구 염전로333번길 23 
전문대학,593,한국폴리텍 III 대학 춘천캠퍼스,본교,강원,사립,기존,강원도 춘천시 동산면 영서로 1290-31 
전문대학,594,한국폴리텍 III 대학 강릉캠퍼스,본교,강원,사립,기존,강원도 강릉시 남산초교길 121 
전문대학,603,한국폴리텍 IV 대학 대전캠퍼스,본교,대전,사립,기존,대전광역시 동구 우암로 352-21 
전문대학,604,한국폴리텍 IV 대학 청주캠퍼스,본교,충북,사립,기존,충청북도 청주시 흥덕구 산단로 54 
전문대학,606,한국폴리텍 IV 대학 아산캠퍼스,본교,충남,사립,기존,충청남도 아산시 신창면 행목로 45 
전문대학,607,한국폴리텍 IV 대학 홍성캠퍼스,본교,충남,사립,기존,충청남도 홍성군 홍성읍 충서로 1200 
전문대학,616,한국폴리텍 V 대학 광주캠퍼스,본교,광주,사립,기존,광주광역시 북구 하서로 85 
전문대학,617,한국폴리텍 V 대학 전북캠퍼스,본교,전북,사립,기존,전라북도 김제시 백학제길 154 
전문대학,619,한국폴리텍 V 대학 전남캠퍼스,본교,전남,사립,기존,전라남도 무안군 청계면 영산로 1854-16 한국폴리텍V대학 전남캠퍼스
전문대학,620,한국폴리텍 V 대학 익산캠퍼스,본교,전북,사립,기존,전라북도 익산시 선화로 579 
전문대학,623,한국폴리텍 VI 대학 대구캠퍼스,본교,대구,사립,기존,대구광역시 서구 국채보상로43길 15 
전문대학,624,한국폴리텍 VI 대학 구미캠퍼스,본교,경북,사립,기존,경상북도 구미시 수출대로3길 84 
전문대학,631,한국폴리텍 VII 대학 창원캠퍼스,본교,경남,사립,기존,경상남도 창원시 성산구 외동반림로 51-88 
